User,Password,Time_Seconds,Attempts,Workfactor
Bilbo,welcome,392.82,131154,8
Gandalf,wizard,390.51,132327,8
Thorin,diamond,377.49,31383,8
Fili,desire,782.39,30865,9
Kili,ossify,740.89,76508,9
Balin,hangout,1557.72,49557,10
Dwalin,drossy,1361.81,34352,10
Oin,ispaghul,1436.17,57371,10
Gloin,oversave,2896.63,78208,11
Dori,indoxylic,2755.79,55191,11
Nori,swagsman,2929.05,111324,11
Ori,airway,5450.16,2697,12
Bifur,corrosible,5727.11,26031,12
Bofur,libellate,5837.28,61992,12
Durin,purrone,14509.72,90305,13

Total_Time,47145.63
